id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,hotpotqa,,,German,False,,,3.3,
2,hotpotqa,,,Hans Werner Henze,False,,,4.6,
3,hotpotqa,,,"U2 released the song ""With or Without You"" first.",True,,,3.2,
4,hotpotqa,,,Oldham County,True,,,5.3,
5,hotpotqa,,,The estimated population of the city that Para Hills We,True,,,5.8,
6,hotpotqa,,,Hugh Laurie,False,,,4.4,
7,hotpotqa,,,"October 26, 1881",False,,,4.0,
8,hotpotqa,,,"Kapil Sharma, who played Gutthi on Comedy nights with K",False,,,11.8,
9,hotpotqa,,,Charlie Murphy,True,,,3.1,
10,hotpotqa,,,Bill Dudman,True,,,5.6,
11,hotpotqa,,,The Hungry Hustlerz,True,,,2.9,
12,hotpotqa,,,United Nations Security Council,False,,,3.8,
13,hotpotqa,,,"Rensselaer County, New York",True,,,2.6,
14,hotpotqa,,,Sinclair Oil Corporation was founded by Frank Sinclair ,False,,,3.7,
15,hotpotqa,,,Axl Rose,True,,,2.8,
16,hotpotqa,,,The Tenerife airport disaster occurred first on March 2,False,,,8.7,
17,hotpotqa,,,Suffolk County,False,,,3.1,
18,hotpotqa,,,"Ole Einar Bjørndalen was born on January 27, 1974.",False,,,7.5,
19,hotpotqa,,,Gasherbrum II is taller than Langtang Ri.,True,,,5.0,
20,hotpotqa,,,John de Mol Jr.,True,,,3.0,
21,hotpotqa,,,"The Plymouth Barracuda, depicted on the cover of Pentas",True,,,7.8,
22,hotpotqa,,,Wo/Men's Alliance for Medical Marijuana (WAMM),False,,,4.5,
23,hotpotqa,,,Studio Ghibli was founded in 1985.,True,,,3.5,
24,hotpotqa,,,The original name of the English local newspaper featur,False,,,6.3,
25,hotpotqa,,,Jose Gonzalo Rodriguez Gacha and other leaders of the M,True,,,6.0,
26,hotpotqa,,,Clement Greenberg died later.,True,,,4.9,
27,hotpotqa,,,I cannot find information about Arthur Noss's service i,False,,,12.2,
28,hotpotqa,,,Alopecurus is more common in temperate regions.,True,,,4.9,
29,hotpotqa,,,Mærsk Mc-Kinney Møller's father is none other than the ,False,,,4.5,
30,hotpotqa,,,Samantha Cristoforetti,True,,,8.9,
31,hotpotqa,,,Park Ye-jin,True,,,3.4,
32,hotpotqa,,,Taipei Port,False,,,5.1,
33,hotpotqa,,,Olathe East High School in Kansas,False,,,2.9,
34,hotpotqa,,,D1NZ is based on the drifting technique.,True,,,3.0,
35,hotpotqa,,,"""Aloha ʻOe""",True,,,5.1,
36,hotpotqa,,,The NG postcode area is approximately 10 miles from Gam,False,,,6.4,
37,hotpotqa,,,Old and in the Way,False,,,5.4,
38,hotpotqa,,,10 October 2010,True,,,5.6,
39,hotpotqa,,,Los Angeles Lakers vs. Orlando Magic,False,,,3.1,
40,hotpotqa,,,Ballarat Bitter,False,,,6.7,
41,hotpotqa,,,"Mikael Stanne was born first on May 20, 1974.",False,,,5.5,
42,hotpotqa,,,France,False,,,4.3,
43,hotpotqa,,,Selina Giles played the character Evey Hammond in the 2,False,,,4.2,
44,hotpotqa,,,The company that published the magazine Dionne Bunsha w,True,,,6.0,
45,hotpotqa,,,Turkey,True,,,4.5,
46,hotpotqa,,,Fleetwood Mac,True,,,6.6,
47,hotpotqa,,,Albania,False,,,3.0,
48,hotpotqa,,,LaLee's Kin: The Legacy of Cotton,True,,,6.4,
49,hotpotqa,,,The Isles led by Aonghus Mór are known as the Kingdom o,True,,,5.1,
50,hotpotqa,,,The birth of Jesus in Bethlehem is not directly covered,False,,,7.1,
51,hotpotqa,,,"""Dear Wendy""",False,,,6.4,
52,hotpotqa,,,Child actress,False,,,3.0,
53,hotpotqa,,,Rear-Admiral Joseph de Richery,False,,,2.8,
54,hotpotqa,,,Columbia University,False,,,2.8,
55,hotpotqa,,,Rock and Roll,True,,,5.5,
56,hotpotqa,,,"Sanming District is located in Sanming, Fujian, China. ",True,,,5.3,
57,hotpotqa,,,Los Angeles Dance Theater,True,,,2.5,
58,hotpotqa,,,Ian Watkins,False,,,4.9,
59,hotpotqa,,,Jeff Meldrum and Grover Krantz.,False,,,3.9,
60,hotpotqa,,,The co-directors of the psychological horror film starr,False,,,6.4,
61,hotpotqa,,,North Carolina Highway 2A,False,,,4.2,
62,hotpotqa,,,Godiva Chocolatier,True,,,5.8,
63,hotpotqa,,,Karl Pilkington,False,,,4.3,
64,hotpotqa,,,Löwenbräu and Bürgerbräukeller are both located in Muni,True,,,5.1,
65,hotpotqa,,,2018,False,,,4.5,
66,hotpotqa,,,Mackinac County,False,,,3.4,
67,hotpotqa,,,Provisional Irish Republican Army (IRA),True,,,3.5,
68,hotpotqa,,,Hollins University,False,,,2.9,
69,hotpotqa,,,Dawn O'Day,False,,,6.1,
70,hotpotqa,,,"""Guardians of the Galaxy""",False,,,5.9,
71,hotpotqa,,,Pieter van Musschenbroek,True,,,4.5,
72,hotpotqa,,,Dirt track racing,True,,,2.9,
73,hotpotqa,,,"Forest Hill, Texas is a suburb of Fort Worth, the fifth",True,,,6.6,
