id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,hotpotqa,,,Otto von Bismarck,False,,,5.9,
2,hotpotqa,,,Hermann Goetz,False,,,5.8,
3,hotpotqa,,,U2,True,,,5.4,
4,hotpotqa,,,Oldham County,True,,,5.8,
5,hotpotqa,,,Adelaide,False,,,6.0,
6,hotpotqa,,,Hugh Laurie,False,,,6.2,
7,hotpotqa,,,"October 26, 1881",False,,,6.9,
8,hotpotqa,,,Observation: [Kapil Sharma (comedian)] Kapil Sharma (bo,False,,,33.1,
9,hotpotqa,,,Charlie Murphy,True,,,6.3,
10,hotpotqa,,,Bill Dudman,True,,,8.1,
11,hotpotqa,,,The Hungry Hustlerz,True,,,6.2,
12,hotpotqa,,,Omar Bradley,False,,,6.0,
13,hotpotqa,,,"Rensselaer County, New York",True,,,5.6,
14,hotpotqa,,,Sinclair Oil Corporation,False,,,5.9,
15,hotpotqa,,,Axl Rose,True,,,4.9,
16,hotpotqa,,,The Tenerife airport disaster occurred first on 27 Marc,False,,,19.0,
17,hotpotqa,,,"Freeport, New York",False,,,5.0,
18,hotpotqa,,,"Ole Einar Bjørndalen, born on May 17, 1977",False,,,9.5,
19,hotpotqa,,,Gasherbrum II is taller.,True,,,10.2,
20,hotpotqa,,,Joop van den Ende,False,,,5.3,
21,hotpotqa,,,The car depicted on the cover of Pentastar: In the Styl,True,,,9.3,
22,hotpotqa,,,Wo/Men's Alliance for Medical Marijuana,False,,,7.7,
23,hotpotqa,,,"Studio Ghibli, founded in 1985.",True,,,7.0,
24,hotpotqa,,,Spalding War Memorial,False,,,11.0,
25,hotpotqa,,,1980s to 1990s,False,,,7.3,
26,hotpotqa,,,Clement Greenberg died later.,True,,,9.6,
27,hotpotqa,,,Arthur Noss served under Air Chief Marshal Sir Keith Ro,True,,,10.5,
28,hotpotqa,,,Alopecurus,True,,,6.1,
29,hotpotqa,,,Mærsk Mc-Kinney Møller's father is Mærsk Mc-Kinney Møll,False,,,9.1,
30,hotpotqa,,,Luigi Bezzera,False,,,5.5,
