id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,hotpotqa,,,Otto von Bismarck,False,,,4.8,
2,hotpotqa,,,"The German composer who wrote ""Der Lindberghflug"" perfo",False,,,9.3,
3,hotpotqa,,,"U2 released ""With or Without You"" first.",True,,,5.5,
4,hotpotqa,,,Oldham County,True,,,8.1,
5,hotpotqa,,,Adelaide,False,,,9.2,
6,hotpotqa,,,Hugh Laurie was born in 1959.,True,,,6.4,
7,hotpotqa,,,"October 26, 1881",False,,,7.1,
8,hotpotqa,,,Kapil Sharma,False,,,18.1,
9,hotpotqa,,,Charlie Murphy,True,,,5.9,
10,hotpotqa,,,Bill Dudman,True,,,6.5,
11,hotpotqa,,,The Hungry Hustlerz,True,,,6.2,
12,hotpotqa,,,General Omar Bradley,False,,,5.5,
13,hotpotqa,,,"Rensselaer County, New York",True,,,5.0,
14,hotpotqa,,,The original founder of the oil company owned by Robert,False,,,7.4,
15,hotpotqa,,,Axl Rose,True,,,7.6,
16,hotpotqa,,,The Tenerife airport disaster occurred first on March 2,False,,,12.1,
17,hotpotqa,,,"Freeport, New York",False,,,4.6,
18,hotpotqa,,,"Ole Einar Bjørndalen was born on January 27, 1974.",False,,,11.9,
19,hotpotqa,,,Gasherbrum II is taller than Langtang Ri.,True,,,9.4,
20,hotpotqa,,,John de Mol Jr.,True,,,5.8,
21,hotpotqa,,,The car depicted on the cover of Pentastar: In the Styl,True,,,8.1,
22,hotpotqa,,,Richard Berman,False,,,5.6,
23,hotpotqa,,,"Studio Ghibli, founded in 1985.",True,,,6.8,
24,hotpotqa,,,The original name of the English local newspaper that f,False,,,11.7,
25,hotpotqa,,,Jose Gonzalo Rodriguez Gacha and the Medellin Cartel we,False,,,10.1,
26,hotpotqa,,,Clement Greenberg died later than Agatha Christie.,True,,,9.8,
27,hotpotqa,,,"Arthur Noss was a gunner during World War II, but the p",False,,,12.2,
28,hotpotqa,,,Alopecurus is more common in temperate regions.,True,,,10.6,
29,hotpotqa,,,"Mærsk Mc-Kinney Møller's father is none, as he was a CE",False,,,7.9,
30,hotpotqa,,,The first espresso coffee in space was brewed by Patric,False,,,5.9,
31,hotpotqa,,,Park Ye-jin,True,,,6.5,
32,hotpotqa,,,Taipei Port,False,,,9.2,
33,hotpotqa,,,Olathe East High School,False,,,4.9,
34,hotpotqa,,,The Office (U.S. TV series),False,,,5.7,
35,hotpotqa,,,"""Aloha ʻOe""",True,,,8.3,
36,hotpotqa,,,The NG postcode area is approximately 3 miles from Gams,True,,,11.8,
37,hotpotqa,,,Old and in the Way,False,,,5.6,
38,hotpotqa,,,The Curaçao Centre for Correction and Detention changed,True,,,12.9,
39,hotpotqa,,,Los Angeles Lakers,False,,,10.1,
40,hotpotqa,,,Ballarat Bitter,False,,,5.5,
41,hotpotqa,,,"Mikael Stanne was born first on May 20, 1974.",False,,,10.1,
42,hotpotqa,,,France,False,,,7.8,
43,hotpotqa,,,Evey,False,,,10.9,
44,hotpotqa,,,Frontline,False,,,21.0,
45,hotpotqa,,,Turkey,True,,,7.9,
46,hotpotqa,,,Fleetwood Mac,True,,,16.0,
47,hotpotqa,,,Albania,False,,,5.4,
48,hotpotqa,,,LaLee's Kin: The Legacy of Cotton,True,,,6.6,
49,hotpotqa,,,"The Isles led by Aonghus Mór are the Hebrides, and thei",False,,,13.0,
50,hotpotqa,,,Part III of Handel's Messiah covers the birth of a chil,True,,,8.3,
51,hotpotqa,,,I cannot find a drama thriller produced by Sisse Graum ,False,,,20.2,
52,hotpotqa,,,Child actress,False,,,4.4,
