id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,custom50,,,The population of Paris is 2.1 million.,True,,,4.5,
2,custom50,,,The capital of Japan is Tokyo.,True,,,4.2,
3,custom50,,,Satya Nadella is the CEO of Microsoft.,True,,,4.6,
4,custom50,,,"The tallest mountain in the world is Mount Everest, whi",True,,,5.2,
5,custom50,,,The boiling point of water is 100 degrees Celsius.,True,,,5.1,
6,custom50,,,340 multiplied by 25 is 8500.,True,,,5.4,
7,custom50,,,15 percent of 8000 is 1200.,True,,,8.9,
8,custom50,,,The sum of 999 and 111 is 1110.,True,,,5.8,
9,custom50,,,The square of 47 is 2209.,True,,,4.8,
10,custom50,,,7200 divided by 8 is 900.,True,,,5.4,
11,custom50,,,Double the population of Paris is 4.2 million.,True,,,8.2,
12,custom50,,,The population of Tokyo after adding 5 million would be,True,,,9.9,
13,custom50,,,Phi-3-mini has 7.6 billion parameters when multiplied b,True,,,17.5,
14,custom50,,,The combined population of Paris and Tokyo is 39.5 mill,False,,,10.1,
15,custom50,,,The speed of light in m/s is 299.792.,True,,,9.2,
16,custom50,,,The sum of 456 and 544 is 1000.,True,,,5.7,
17,custom50,,,The capital of France is Paris.,True,,,4.2,
18,custom50,,,The product of 12 and 12 is 144.,True,,,5.2,
19,custom50,,,"The longest river in the world is the Nile, which is ap",True,,,5.2,
20,custom50,,,25 percent of 400 is 100.,True,,,8.2,
21,custom50,,,"The capital of India is New Delhi, and its population i",True,,,7.4,
22,custom50,,,The result of 50 times 4 plus 100 is 300.,True,,,8.4,
23,custom50,,,The height of Mount Everest divided by 2 is 4424.5 mete,True,,,8.3,
24,custom50,,,The result of 10 squared multiplied by 3 is 300.,True,,,9.0,
25,custom50,,,The length of the longest river after subtracting 650 i,True,,,9.4,
26,custom50,,,The capital of Canada is Ottawa.,True,,,4.2,
27,custom50,,,The CEO of Apple is Tim Cook.,True,,,4.5,
28,custom50,,,The largest desert in the world is the Sahara Desert.,True,,,4.9,
29,custom50,,,The population of Sydney is 5.3 million.,True,,,4.2,
30,custom50,,,There are 7 continents on Earth.,True,,,4.4,
31,custom50,,,640 divided by 16 is 40.,True,,,5.3,
32,custom50,,,35 percent of 2000 is 700.,True,,,8.1,
33,custom50,,,18 multiplied by 45 is 810.,True,,,5.1,
34,custom50,,,The square of 31 is 961.,True,,,4.6,
35,custom50,,,The sum of 12345 and 54321 is 66666.,True,,,5.9,
36,custom50,,,Half the population of Sydney is 2.65 million.,True,,,8.1,
37,custom50,,,"The distance from Earth to the Moon in kilometers, divi",True,,,10.7,
38,custom50,,,The combined population of Cairo and Sydney is 27.3 mil,True,,,10.8,
39,custom50,,,The normal human body temperature in Celsius multiplied,True,,,9.8,
40,custom50,,,There are 175 when the number of continents on Earth is,True,,,8.7,
41,custom50,,,The difference between 850 and 350 is 500.,True,,,5.1,
42,custom50,,,The capital of Brazil is Brasilia.,True,,,3.8,
43,custom50,,,999,True,,,4.1,
44,custom50,,,The largest ocean on Earth is the Pacific Ocean.,True,,,4.0,
45,custom50,,,5 percent of 640 is 32.,True,,,7.8,
46,custom50,,,"The capital of Canada is Ottawa, and its population is ",True,,,7.2,
47,custom50,,,The result of calculating 25 times 8 and then dividing ,True,,,8.9,
48,custom50,,,The distance from Earth to the Moon after subtracting 4,True,,,10.9,
49,custom50,,,The result of squaring 15 and then adding 75 is 300.,True,,,9.3,
50,custom50,,,The population of Cairo multiplied by 2 is 44 million.,True,,,7.9,
