id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,gsm8k,,,109,True,,,22.1,
2,gsm8k,,,9 + 6.666667 + 60 = 75.666667,False,,,26.9,
3,gsm8k,,,Indras has 6 letters and her sister has 7 letters in th,False,,,9.0,
11,gsm8k,,,27,False,,,21.8,
12,gsm8k,,,12,True,,,7.3,
13,gsm8k,,,15.666667,False,,,15.1,
14,gsm8k,,,24,True,,,8.1,
15,gsm8k,,,"35,70",False,,,15.1,
16,gsm8k,,,120,True,,,7.5,
17,gsm8k,,,22,False,,,8.1,
18,gsm8k,,,36,True,,,5.1,
19,gsm8k,,,12,True,,,4.6,
20,gsm8k,,,45,True,,,10.4,
21,gsm8k,,,45,True,,,11.7,
22,gsm8k,,,8,True,,,7.6,
23,gsm8k,,,36,True,,,16.7,
24,gsm8k,,,2,False,,,4.8,
25,gsm8k,,,10,False,,,20.5,
26,gsm8k,,,23,False,,,12.1,
27,gsm8k,,,1248,True,,,12.8,
28,gsm8k,,,291.6667,False,,,17.0,
29,gsm8k,,,1,True,,,14.0,
30,gsm8k,,,32,True,,,6.8,
31,gsm8k,,,4,False,,,7.5,
32,gsm8k,,,30,True,,,10.8,
33,gsm8k,,,4,True,,,8.1,
34,gsm8k,,,54,True,,,11.9,
35,gsm8k,,,1950,False,,,14.6,
36,gsm8k,,,549,False,,,8.8,
37,gsm8k,,,129200,True,,,10.9,
38,gsm8k,,,6000,False,,,24.6,
39,gsm8k,,,70,True,,,5.3,
40,gsm8k,,,276000,True,,,16.1,
41,gsm8k,,,12,False,,,10.5,
42,gsm8k,,,53.33,False,,,9.6,
43,gsm8k,,,90,True,,,8.1,
44,gsm8k,,,20,True,,,8.7,
45,gsm8k,,,296,True,,,17.4,
46,gsm8k,,,4800,True,,,12.0,
47,gsm8k,,,30,True,,,10.5,
48,gsm8k,,,8,True,,,10.3,
49,gsm8k,,,1920,True,,,14.7,
50,gsm8k,,,6,True,,,12.0,
51,gsm8k,,,Observation: Error: invalid expression.,False,,,25.6,
52,gsm8k,,,Observation: Error: invalid expression.,False,,,23.6,
53,gsm8k,,,10,True,,,15.4,
54,gsm8k,,,12,True,,,11.5,
55,gsm8k,,,50,True,,,8.8,
56,gsm8k,,,92,True,,,10.9,
57,gsm8k,,,623,True,,,9.5,
58,gsm8k,,,40,True,,,5.2,
59,gsm8k,,,6 + 3 + 8 = 17,True,,,19.2,
60,gsm8k,,,940,True,,,7.5,
61,gsm8k,,,10,True,,,11.5,
62,gsm8k,,,540,True,,,6.0,
63,gsm8k,,,110,True,,,7.0,
64,gsm8k,,,Observation: Error: invalid expression.,False,,,21.5,
65,gsm8k,,,9.333332,False,,,11.8,
66,gsm8k,,,24,True,,,7.4,
67,gsm8k,,,22,True,,,5.6,
68,gsm8k,,,4,True,,,8.7,
69,gsm8k,,,22,True,,,7.5,
70,gsm8k,,,56,False,,,11.5,
71,gsm8k,,,Observation: Error: invalid expression.,False,,,31.0,
72,gsm8k,,,10,True,,,10.9,
73,gsm8k,,,410,True,,,10.8,
74,gsm8k,,,140,True,,,4.9,
75,gsm8k,,,720,True,,,7.9,
76,gsm8k,,,1050,True,,,8.4,
77,gsm8k,,,8,True,,,20.3,
78,gsm8k,,,20,True,,,18.1,
79,gsm8k,,,139,False,,,13.3,
80,gsm8k,,,175,True,,,9.5,
81,gsm8k,,,64,True,,,10.0,
82,gsm8k,,,5600,True,,,11.9,
83,gsm8k,,,720,True,,,12.3,
84,gsm8k,,,312,True,,,7.5,
85,gsm8k,,,60,True,,,8.4,
86,gsm8k,,,450,True,,,8.6,
87,gsm8k,,,70000,False,,,14.6,
88,gsm8k,,,43500,True,,,13.3,
89,gsm8k,,,50,False,,,15.5,
90,gsm8k,,,9,True,,,14.4,
91,gsm8k,,,60,True,,,18.4,
92,gsm8k,,,21,False,,,10.8,
93,gsm8k,,,539,True,,,20.1,
94,gsm8k,,,20,False,,,11.9,
95,gsm8k,,,14,True,,,18.8,
96,gsm8k,,,60,True,,,6.8,
97,gsm8k,,,2160,False,,,11.1,
98,gsm8k,,,97,False,,,12.6,
99,gsm8k,,,70,True,,,10.0,
100,gsm8k,,,63,True,,,8.2,
