id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,custom50,,,The population of Paris is 2.1 million.,True,,,4.6,
2,custom50,,,The capital of Japan is Tokyo.,True,,,2.1,
3,custom50,,,Satya Nadella is the CEO of Microsoft.,True,,,2.4,
4,custom50,,,"The tallest mountain is Mount Everest, which stands at ",True,,,2.9,
5,custom50,,,The boiling point of water is 100 degrees Celsius.,True,,,2.5,
6,custom50,,,340 multiplied by 25 is 8500.,True,,,2.9,
7,custom50,,,15 percent of 8000 is 1200.,True,,,3.8,
8,custom50,,,1110,True,,,2.5,
9,custom50,,,The square of 47 is 2209.,True,,,2.6,
10,custom50,,,7200 divided by 8 is 900.,True,,,2.9,
11,custom50,,,Double the population of Paris is 4.2 million.,True,,,3.9,
12,custom50,,,The population of Tokyo plus 5 million is 19 million.,True,,,4.3,
13,custom50,,,Phi-3-mini has 7.6 billion parameters when multiplied b,True,,,8.9,
14,custom50,,,The combined population of Paris and Tokyo is 39.5 mill,False,,,5.4,
15,custom50,,,The speed of light divided by 1000 is 299.792 km/s.,True,,,4.7,
16,custom50,,,The sum of 456 and 544 is 1000.,True,,,3.1,
17,custom50,,,The capital of France is Paris.,True,,,2.4,
18,custom50,,,144,True,,,2.3,
19,custom50,,,"The longest river is the Nile, which is 6650 km long.",True,,,2.7,
20,custom50,,,25 percent of 400 is 100.,True,,,3.5,
21,custom50,,,"The capital of India is New Delhi, and its population i",True,,,4.0,
22,custom50,,,"The result of 50 times 4, then adding 100, is 300.",True,,,3.8,
23,custom50,,,The height of Mount Everest divided by 2 is 4424.5 mete,True,,,4.5,
24,custom50,,,The result of calculating 10 squared and then multiplyi,True,,,4.6,
25,custom50,,,The length of the longest river after subtracting 650 i,True,,,5.3,
26,custom50,,,The capital of Canada is Ottawa.,True,,,2.2,
27,custom50,,,The CEO of Apple is Tim Cook.,True,,,2.4,
28,custom50,,,The largest desert in the world is the Sahara Desert.,True,,,2.8,
29,custom50,,,The population of Sydney is 5.3 million.,True,,,2.4,
30,custom50,,,There are 7 continents on Earth.,True,,,2.5,
31,custom50,,,640 divided by 16 is 40.,True,,,3.3,
32,custom50,,,35 percent of 2000 is 700.,True,,,4.7,
33,custom50,,,18 multiplied by 45 is 810.,True,,,2.8,
34,custom50,,,The square of 31 is 961.,True,,,2.5,
35,custom50,,,66666,True,,,2.5,
36,custom50,,,Half the population of Sydney is 2.65 million.,True,,,3.9,
37,custom50,,,The distance from Earth to the Moon in meters is 384.4 ,True,,,4.9,
38,custom50,,,The combined population of Cairo and Sydney is 27.3 mil,True,,,5.9,
39,custom50,,,The normal human body temperature in Celsius multiplied,True,,,4.9,
40,custom50,,,There are 175 when the number of continents on Earth is,True,,,4.8,
41,custom50,,,The result of 850 minus 350 is 500.,True,,,2.7,
42,custom50,,,The capital of Brazil is Brasilia.,True,,,2.2,
43,custom50,,,999,True,,,2.2,
44,custom50,,,The largest ocean in the world is the Pacific Ocean.,True,,,2.2,
45,custom50,,,5 percent of 640 is 32.,True,,,3.2,
46,custom50,,,"The capital of Canada is Ottawa, and its population is ",True,,,3.9,
47,custom50,,,"The result of 25 times 8, divided by 4, is 50.",True,,,3.5,
48,custom50,,,The distance from Earth to the Moon after subtracting 4,True,,,5.4,
49,custom50,,,The result of 15 squared plus 75 is 300.,True,,,3.9,
50,custom50,,,The result of multiplying the population of Cairo by 2 ,True,,,4.8,
