id,category,task,gold,answer,correct,steps,tool_calls,latency_s,trace
1,custom50,,,The population of Paris is 2.1 million.,True,,,5.4,
2,custom50,,,The capital of Japan is Tokyo.,True,,,4.7,
3,custom50,,,Satya Nadella.,True,,,5.1,
4,custom50,,,The tallest mountain is Mount Everest at 8849 meters.,True,,,5.5,
5,custom50,,,The boiling point of water is 100 degrees Celsius.,True,,,5.7,
6,custom50,,,340 multiplied by 25 is 8500.,True,,,7.0,
7,custom50,,,15 percent of 8000 is 1200.,True,,,10.0,
8,custom50,,,999 plus 111 is 1110.,True,,,6.7,
9,custom50,,,The square of 47 is 2209.,True,,,5.5,
10,custom50,,,7200 divided by 8 is 900.,True,,,6.6,
11,custom50,,,Double the population of Paris is 4.2 million.,True,,,5.1,
12,custom50,,,The population of Tokyo plus 5 million is 19 million.,True,,,5.3,
13,custom50,,,Observation: 7600000000,False,,,20.9,
14,custom50,,,The population of Paris plus the population of Tokyo is,True,,,8.4,
15,custom50,,,The speed of light divided by 1000 is 299.792 km/s.,True,,,11.1,
16,custom50,,,456 plus 544 equals 1000.,True,,,6.7,
17,custom50,,,The capital of France is Paris.,True,,,4.5,
18,custom50,,,12 times 12 is 144.,True,,,6.3,
19,custom50,,,"The longest river is the Nile, which is 6650 km long.",True,,,5.5,
20,custom50,,,25 percent of 400 is 100.,True,,,9.9,
21,custom50,,,The capital of India is New Delhi and its population is,True,,,8.8,
22,custom50,,,300,True,,,8.2,
23,custom50,,,The height of Mount Everest divided by 2 is 4424.5 mete,True,,,6.2,
24,custom50,,,300,True,,,7.7,
25,custom50,,,The length of the longest river minus 650 is 6000 km.,True,,,9.3,
26,custom50,,,The capital of Canada is Ottawa.,True,,,4.7,
27,custom50,,,Tim Cook is the CEO of Apple.,True,,,5.4,
28,custom50,,,The largest desert in the world is the Sahara.,True,,,5.8,
29,custom50,,,The population of Sydney is 5.3 million.,True,,,5.0,
30,custom50,,,There are 7 continents on Earth.,True,,,5.3,
31,custom50,,,640 divided by 16 is 40.,True,,,6.6,
32,custom50,,,35 percent of 2000 is 700.,True,,,9.8,
33,custom50,,,18 multiplied by 45 is 810.,True,,,6.7,
34,custom50,,,The square of 31 is 961.,True,,,5.4,
35,custom50,,,66666,True,,,6.3,
36,custom50,,,Half the population of Sydney is 2.65 million.,True,,,8.3,
37,custom50,,,The distance from Earth to the Moon divided by 1000 is ,True,,,10.6,
38,custom50,,,The population of Cairo plus the population of Sydney i,True,,,8.6,
39,custom50,,,The normal human body temperature in Celsius multiplied,True,,,10.1,
40,custom50,,,There are 175 continents on Earth if each continent wer,True,,,9.8,
41,custom50,,,850 minus 350 is 500.,True,,,6.3,
42,custom50,,,The capital of Brazil is Brasilia.,True,,,4.6,
43,custom50,,,999,True,,,5.4,
44,custom50,,,The largest ocean is the Pacific Ocean.,True,,,4.5,
45,custom50,,,5 percent of 640 is 32.,True,,,8.9,
46,custom50,,,The capital of Canada is Ottawa and its population is 1,True,,,8.4,
47,custom50,,,50,True,,,7.7,
48,custom50,,,The distance from Earth to the Moon minus 4400 is 38000,True,,,11.0,
49,custom50,,,300,True,,,8.1,
50,custom50,,,The population of Cairo multiplied by 2 is 44 million.,True,,,9.1,
